Fecha,Cuentas que han realizado al menos un pago,Cuentas que han realizado al menos un cobro
28/04/2022,893973,679163
29/04/2022,895515,679900
30/04/2022,896672,680507
01/05/2022,897567,680942
02/05/2022,898532,681504
03/05/2022,899544,682051
04/05/2022,900671,682601
05/05/2022,901850,683201
06/05/2022,903262,683845
07/05/2022,904309,684350
08/05/2022,905095,684762
09/05/2022,906115,685298
10/05/2022,907199,685851
11/05/2022,908302,686369
12/05/2022,909616,686914
13/05/2022,911329,687662
14/05/2022,912523,688268
15/05/2022,913427,688710
16/05/2022,914570,689230
17/05/2022,915686,689765
18/05/2022,916879,690298
19/05/2022,918002,690866
20/05/2022,919334,691530
21/05/2022,920384,692024
22/05/2022,921176,692383
23/05/2022,922132,692847
24/05/2022,923242,693410
25/05/2022,924289,693960
26/05/2022,925150,694408
27/05/2022,926433,694989
28/05/2022,927438,695504
29/05/2022,928193,695861
30/05/2022,929346,696384
31/05/2022,930712,696952
01/06/2022,931915,697553
02/06/2022,933216,698167
03/06/2022,934730,698844
04/06/2022,935781,699375
05/06/2022,936456,699777
06/06/2022,937446,700279
07/06/2022,938481,700741
08/06/2022,939588,701248
09/06/2022,940735,701749
10/06/2022,942214,702444
11/06/2022,943230,702901
12/06/2022,944033,703314
13/06/2022,945093,703824
14/06/2022,946269,704429
15/06/2022,947542,705060
16/06/2022,948910,705706
17/06/2022,950374,706419
18/06/2022,951478,706951
19/06/2022,952286,707353
20/06/2022,953320,707785
21/06/2022,954382,708275
22/06/2022,955550,708786
23/06/2022,956793,709297
24/06/2022,958325,709894
25/06/2022,959279,710310
26/06/2022,960044,710670
27/06/2022,961152,711143
28/06/2022,962297,711590
29/06/2022,963646,712166
30/06/2022,965231,712859
01/07/2022,966822,713617
02/07/2022,968059,714138
03/07/2022,968948,714509
04/07/2022,970117,714993
05/07/2022,971338,715477
06/07/2022,972484,715921
07/07/2022,973713,716456
08/07/2022,974975,716961
09/07/2022,975921,717396
10/07/2022,976776,717717
11/07/2022,977738,718110
12/07/2022,978715,718540
13/07/2022,979715,719014
14/07/2022,981018,719555
15/07/2022,982708,720258
16/07/2022,983821,720740
17/07/2022,984652,721096
18/07/2022,985792,721543
19/07/2022,986916,721987
20/07/2022,988035,722437
21/07/2022,989298,722993
22/07/2022,990790,723641
23/07/2022,991883,724103
24/07/2022,992669,724422
25/07/2022,993794,724861
26/07/2022,994997,725332
27/07/2022,996211,725788
28/07/2022,997712,726553
29/07/2022,999622,727448
30/07/2022,1001003,728090
31/07/2022,1001952,728487
01/08/2022,1003250,728977
02/08/2022,1004465,729459
03/08/2022,1005774,729961
04/08/2022,1007077,730517
05/08/2022,1008664,731190
06/08/2022,1009778,731716
07/08/2022,1010634,732104
08/08/2022,1011795,732542
09/08/2022,1012990,732971
10/08/2022,1014237,733411
11/08/2022,1015413,733807
12/08/2022,1017119,734488
13/08/2022,1018243,734983
14/08/2022,1019098,735341
15/08/2022,1020445,735841
16/08/2022,1021688,736304
17/08/2022,1022870,736751
18/08/2022,1024141,737266
19/08/2022,1025705,737843
