,fecha,cuentas_que_han_realizado_al_menos_un_pago,cuentas_que_han_realizado_al_menos_un_cobro
409,2021-05-21,537142.0,471490.0
410,2021-05-24,537995.0,472157.0
411,2021-05-25,538906.0,472836.0
412,2021-05-26,539820.0,473609.0
413,2021-05-27,540944.0,474432.0
414,2021-05-28,543659.0,476535.0
415,2021-05-31,544702.0,477337.0
416,2021-06-01,545541.0,477989.0
417,2021-06-02,546375.0,478563.0
418,2021-06-03,547263.0,479202.0
419,2021-06-04,549296.0,480692.0
420,2021-06-07,549947.0,481218.0
421,2021-06-08,550585.0,481717.0
422,2021-06-09,551281.0,482236.0
423,2021-06-10,552100.0,482813.0
424,2021-06-11,554120.0,484312.0
425,2021-06-14,554854.0,484809.0
426,2021-06-15,555703.0,485410.0
427,2021-06-16,556410.0,485934.0
428,2021-06-17,557226.0,486532.0
429,2021-06-18,558047.0,487113.0
430,2021-06-19,558704.0,487597.0
431,2021-06-20,559200.0,487964.0
432,2021-06-21,559895.0,488481.0
433,2021-06-22,560573.0,488984.0
434,2021-06-23,561282.0,489512.0
435,2021-06-24,562033.0,490097.0
436,2021-06-25,562900.0,490793.0
437,2021-06-26,563565.0,491269.0
438,2021-06-27,563975.0,491585.0
439,2021-06-28,564795.0,492136.0
440,2021-06-29,565698.0,492783.0
441,2021-06-30,566732.0,493528.0
442,2021-07-01,567734.0,494242.0
443,2021-07-02,568781.0,494995.0
444,2021-07-03,569595.0,495589.0
445,2021-07-04,570257.0,496054.0
446,2021-07-05,571159.0,496632.0
447,2021-07-06,572016.0,497212.0
448,2021-07-07,572947.0,497839.0
449,2021-07-08,573886.0,498520.0
450,2021-07-09,575002.0,499233.0
451,2021-07-10,575927.0,499814.0
452,2021-07-11,576607.0,500250.0
453,2021-07-12,577492.0,500858.0
454,2021-07-13,578502.0,501581.0
455,2021-07-14,579691.0,502421.0
456,2021-07-15,581022.0,503299.0
457,2021-07-16,582358.0,504206.0
458,2021-07-17,583411.0,504898.0
459,2021-07-18,584174.0,505376.0
460,2021-07-19,585136.0,506020.0
461,2021-07-20,586082.0,506692.0
462,2021-07-21,587099.0,507348.0
463,2021-07-22,587994.0,507981.0
464,2021-07-23,589100.0,508711.0
465,2021-07-24,589974.0,509241.0
466,2021-07-25,590648.0,509677.0
467,2021-07-26,591469.0,510231.0
468,2021-07-27,592431.0,510947.0
469,2021-07-28,593404.0,511627.0
470,2021-07-29,594553.0,512423.0
471,2021-07-30,595815.0,513234.0
472,2021-07-31,596767.0,513840.0
473,2021-08-01,597419.0,514295.0
474,2021-08-02,598260.0,514862.0
475,2021-08-03,599152.0,515518.0
