,fecha,total_cuentas_validadas,ABC_capital,banco_actinver,banca_afirme,opciones_empresariales_del_Noreste,banco_autofin_méxico,banco_azteca,banco_del_bajío,banco_nacional_de_méxico,Banco_ahorro_Famsa,bancoppel,banco_bancrea,banco_nacional_del_ejército_fuerza_aérea_y_armada,bankaool,banco_mercantil_del_norte,banco_regional,banco_del_ahorro_nacional_y_servicios_financieros,bansi,banco_base,bbva_bancomer,banco_monex,cibanco,banco_compartamos,consubanco,fundación_dondé_banco,fincomún_servicios_financieros_comunitarios,hsbc_méxico,banco_inbursa,banco_inmobiliario_mexicano,intercam_banco,banco_invex,banca_mifel,banco_multiva,banco_pagatodo,banco_sabadell,banco_santander,scotiabank_inverlat,sistema_de_transferencias_y_pagos_stp,operadora_de_pagos_móviles_de_méxico,banco_ve_por_Mas
91,23/08/2020,31996,0,0,33,0,1,243,1,2002,0,21417,0,10,0,118,59,0,0,0,7430,0,0,4,0,0,0,295,19,0,0,0,3,0,27,3,186,140,5,0,0
92,24/08/2020,39331,0,0,46,0,0,263,3,3393,0,21114,0,7,0,135,82,0,0,0,13246,1,0,3,0,0,0,515,44,0,0,0,1,0,39,1,317,117,4,0,0
93,25/08/2020,31402,0,0,32,2,0,300,1,3402,0,12685,0,10,0,151,75,0,0,0,13779,0,0,5,0,0,2,451,0,0,1,0,3,0,28,0,303,166,5,0,1
94,26/08/2020,29511,0,0,45,1,0,261,1,3138,0,12114,-1,12,0,158,84,0,0,0,12834,2,0,5,0,0,1,305,-2,0,2,0,4,0,43,1,308,189,4,0,2
95,27/08/2020,29479,0,0,77,0,1,300,0,3438,0,10384,1,21,2,161,83,0,0,0,14151,0,0,5,0,0,-1,294,2,0,0,0,6,0,36,1,356,154,6,0,1
96,28/08/2020,19600,0,0,58,2,1,327,1,2433,0,7489,0,28,2,241,75,0,0,1,8466,2,0,3,0,0,0,107,45,0,1,0,4,0,25,1,207,79,1,0,1
97,29/08/2020,24008,0,0,59,1,0,332,1,2791,0,9123,0,31,0,192,64,0,0,0,10576,0,0,1,0,0,0,292,46,0,0,0,2,0,21,1,284,188,2,0,1
98,30/08/2020,19878,0,0,28,1,0,242,0,2273,0,7744,0,18,0,120,53,0,0,0,8514,0,0,4,0,0,0,485,30,0,0,0,0,0,9,1,214,141,1,0,0
99,31/08/2020,11830,0,0,63,3,2,197,3,1360,0,6060,0,35,0,144,72,0,0,1,3236,0,0,2,0,0,1,210,38,0,0,0,5,0,54,3,293,42,6,0,0
100,01/09/2020,21424,0,0,43,2,0,304,-6,3789,0,8396,0,27,0,178,68,0,0,0,8133,0,0,5,0,0,2,174,48,0,1,0,6,0,51,2,159,36,5,0,1
101,02/09/2020,25256,0,0,50,1,0,297,-3,3065,0,7494,2,18,1,180,76,0,0,1,13119,0,0,6,0,0,0,414,44,0,1,0,3,0,25,0,361,95,4,0,2
102,03/09/2020,25148,0,0,45,1,1,289,1,3348,0,6732,0,17,0,183,79,0,0,0,13690,0,0,6,0,0,0,277,40,0,2,0,5,0,-13,0,342,95,8,0,0
103,04/09/2020,24251,0,0,63,0,0,291,-4,2622,0,6587,0,14,0,190,80,0,0,0,13711,1,0,2,0,0,-1,286,42,0,1,0,7,0,-13,4,279,83,6,0,0
104,05/09/2020,20164,0,0,30,0,0,310,0,2427,0,6755,0,13,0,148,54,0,0,0,9831,0,0,3,0,0,0,207,39,0,5,0,2,0,-6,0,169,175,2,0,0
105,06/09/2020,16214,0,0,15,0,0,250,1,2010,0,5601,0,11,0,127,71,0,0,0,7644,0,0,1,0,0,0,151,28,0,1,0,3,0,-5,0,176,126,3,0,0
106,07/09/2020,21821,0,0,23,0,1,276,3,3229,0,6520,0,16,4,129,102,0,0,0,10672,0,0,4,0,0,1,381,44,0,4,0,1,0,-16,1,292,119,14,0,1
107,08/09/2020,23766,0,0,55,1,0,274,2,3166,0,6140,0,15,1,109,81,0,0,0,13062,0,-1,3,0,0,1,319,26,0,3,0,3,0,-8,0,310,199,5,0,0
108,09/09/2020,22831,0,1,31,2,1,286,-1,3061,0,5725,0,17,2,166,105,0,0,0,12619,0,0,6,0,0,3,264,45,0,5,0,3,0,-7,2,294,197,4,0,0
109,10/09/2020,22586,0,0,28,0,3,240,-1,2763,0,5366,0,16,1,194,104,0,0,0,13008,0,0,3,0,0,0,290,32,0,4,0,0,1,68,1,339,122,3,0,1
110,11/09/2020,13959,0,0,42,2,0,272,-3,2312,0,5406,0,17,1,205,93,0,0,0,4693,0,0,3,0,0,1,323,54,0,1,0,6,0,124,0,315,87,5,0,0
111,12/09/2020,18566,0,0,22,1,0,274,0,2471,0,5891,0,14,0,144,64,0,0,0,8956,0,0,5,0,0,1,214,33,0,0,0,1,0,46,3,249,176,1,0,0
112,13/09/2020,14878,0,0,18,0,1,245,-4,1878,0,4882,0,28,1,139,63,0,0,0,7125,0,0,2,0,0,1,154,20,0,0,0,3,0,-5,0,193,130,3,0,1
113,14/09/2020,8543,0,0,39,0,2,253,-4,1664,0,1834,0,24,1,196,109,0,1,1,3812,0,0,4,0,0,0,242,42,0,2,0,1,0,-10,1,206,119,3,0,1
114,15/09/2020,16085,0,0,34,1,1,280,-4,2255,0,-415,0,23,3,163,110,0,0,1,13039,0,0,2,0,0,1,243,38,0,1,0,1,0,-13,0,265,54,2,0,0
115,16/09/2020,11499,0,0,22,0,3,261,-3,2324,0,-374,0,25,0,135,79,0,0,0,8156,0,0,4,0,0,0,347,7,0,1,0,0,0,51,2,266,191,2,0,0
116,17/09/2020,19154,0,0,31,0,2,249,1,2694,0,1696,0,14,1,173,103,0,0,0,13211,0,0,2,0,0,0,470,28,0,0,0,1,0,70,0,277,127,4,0,0
117,18/09/2020,23640,0,0,49,3,1,244,0,2211,0,6551,0,18,2,142,88,0,0,0,13606,1,0,6,0,0,0,291,-1,0,3,0,2,1,66,2,251,95,7,0,1
118,19/09/2020,23208,0,0,16,0,0,333,2,2157,0,6198,0,12,0,165,81,0,0,0,13537,0,0,3,0,0,1,250,30,0,1,0,1,0,42,0,151,218,10,0,0
119,20/09/2020,8176,0,0,8,0,0,230,0,1523,0,4640,0,10,0,90,49,0,0,0,1185,0,0,5,0,0,2,153,28,0,1,0,2,0,38,1,100,113,-2,0,0
120,21/09/2020,15759,0,0,29,0,-1,286,1,2555,0,881,0,11,0,120,79,0,0,0,11307,0,0,4,0,0,1,214,37,0,1,0,3,0,3,2,156,66,3,0,1
121,22/09/2020,24697,0,0,39,0,0,291,-3,2783,0,6896,0,20,2,149,80,0,0,0,13808,1,0,5,0,1,0,244,37,0,0,0,3,0,-5,2,145,196,2,0,1
122,23/09/2020,21748,0,0,40,1,0,269,-3,2663,0,6051,1,11,0,149,77,0,0,0,11807,0,-1,1,0,0,1,228,25,0,0,0,3,0,68,1,150,200,5,0,1
123,24/09/2020,22236,0,1,27,2,2,323,-2,2629,0,6169,1,10,1,146,90,0,0,0,12141,1,0,8,0,0,0,259,45,0,2,0,2,0,40,0,136,198,5,0,0
124,25/09/2020,20344,0,0,27,2,1,313,2,2179,0,4577,0,7,0,190,83,0,0,0,12348,0,0,7,0,0,-1,275,47,0,1,0,2,0,20,3,192,65,3,0,1
125,26/09/2020,19334,0,0,23,0,0,264,-1,2009,0,5772,0,20,0,154,70,0,0,0,10384,0,0,8,0,0,2,236,27,0,0,0,4,0,40,0,145,174,3,0,0
126,27/09/2020,14853,0,0,11,0,0,258,2,1608,0,5056,0,14,1,146,45,0,0,1,7129,0,0,3,0,0,0,315,24,0,1,0,2,0,26,0,78,131,2,0,0
127,28/09/2020,23741,0,0,29,0,1,320,0,2722,0,5579,0,25,1,165,89,0,0,0,14182,0,0,1,0,0,2,337,41,0,1,0,1,0,54,1,141,46,3,0,0
